,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,HVAC-System_Template,Output-Directory
0,Urban,100,10,2.99,Vertical-Windows,3.78,3.56,4,5,3,13.0,True,DOAS_FCU_ACChiller_ASHP,C:\Git\Work\FOR2363\Model-Runner\src
1,Urban,20,7,3.74,Horizontal-Windows,4.0,3.11,5,4,4,9.67,False,FCU_Chiller_DHW,C:\Git\Work\FOR2363\Model-Runner\src
2,City,80,3,3.56,Ribbon-Windows,2.89,2.67,5,5,2,10.33,True,IdealAirSystem,C:\Git\Work\FOR2363\Model-Runner\src
3,Urban,160,4,3.18,Vertical-Windows,3.56,2.22,3,4,3,7.0,True,PTAC_GasCoil,C:\Git\Work\FOR2363\Model-Runner\src
4,City,60,9,4.12,Vertical-Windows,2.22,3.33,4,4,4,7.67,False,VAV_Chiller_GasCoil,C:\Git\Work\FOR2363\Model-Runner\src
5,Suburbs,40,2,3.93,Ribbon-Windows,3.33,2.44,3,3,4,11.0,False,WSHP_CoolingTower_Boiler,C:\Git\Work\FOR2363\Model-Runner\src
6,Country,180,6,4.31,Ribbon-Windows,3.11,4.0,4,5,3,8.33,False,PVAV_DHW,C:\Git\Work\FOR2363\Model-Runner\src
7,Suburbs,140,1,3.37,Horizontal-Windows,2.0,2.0,4,3,2,11.67,True,PSZAC_DCW_BoilerBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
8,Country,0,5,4.5,Vertical-Windows,2.67,2.89,3,3,3,9.0,True,FCU_DCW_GasHeaters,C:\Git\Work\FOR2363\Model-Runner\src
9,Suburbs,120,8,2.8,Horizontal-Windows,2.44,3.78,5,4,2,12.33,False,DOAS_WSHP_GSHP,C:\Git\Work\FOR2363\Model-Runner\src
