,mean,std,min,max
Orientation,88.90760869565217,52.93585299166656,0.0,180.0
NumberOfFloors,5.559782608695652,2.5621694949375993,1.0,10.0
FloorHeight,3.695706521739132,0.4956990325653221,2.8,4.5
RasterLength-X,3.0159239130434767,0.5937057970191235,2.0,4.0
RasterLength-Y,2.942065217391306,0.5907502649215407,2.0,3.97
Arm-Latitudinal-NumberOfSegments,3.9402173913043477,0.7180057053533309,3.0,5.0
Arm-Longitudinal-NumberOfSegments,4.032608695652174,0.7159553509985288,3.0,5.0
BaseBody-Inside-Latditudinal-NumberOfSegments,2.9402173913043477,0.7103542997485834,2.0,4.0
Courtyard_SegmentCount_RasterLength-Y,9.976956521739124,1.7431525608960132,7.02,12.96
EUI[kWh/m²a],59.769489130434806,2.6960466584576506,54.276,68.561
Baseboard Design Size U-Factor Times Area Average [kW/K],0.6980833423913041,0.36157936961094483,0.100154,2.020527
EUI-Heating[kWh/m²a],3.6675380434782596,2.8230227528352763,0.508,16.774
EUI-InteriorLighting[kWh/m²a],17.281315217391306,0.7238708324433633,14.702,18.709
EUI-Pumps[kWh/m²a],0.015663043478260846,0.009343800345377367,0.003,0.048
EUI-Cooling[kWh/m²a],0.0,0.0,0.0,0.0
GrossFloorArea[m²],9963.264239130438,5623.3002394522255,1982.42,29054.11
HotWaterPumpDesignFlowRate[l/min],5.355498472826089,2.2120053638551926,1.951705,14.473385
HotWaterPumpDesignPowerConsumption[kW],0.0038006141304347844,0.0015698051210422924,0.001385,0.010271
Baseboard Design Size Maximum Water Flow Rate Average [l/min],9.443851396739129,2.7258299158269805,4.886325,21.869249
HeatEmissions-Total[MWh/a],1633.7143870923915,788.396920904461,417.897222,4067.130556
HeatEmissionsZone-Exfiltration[MWh/a],354.4097976793478,212.8327355681369,64.1,1209.144444
HeatEmissionsZone-HVACRejectHeat[MWh/a],1.2878321304347824,3.9787838794319565,0.0,23.163889
BoilerDesignSizeNominalCapacity[kW],35.93116452717391,121.91092740657666,0.0,901.598694
CentralAirSourceHeatPumpCapacity[kW],286.70096101630423,225.94634343700318,0.0,939.786163
Service Hot Water Heater Design Flow Rate [l/min],5.355498472826089,2.2120053638551926,1.951705,14.473385
Boiler Heating Rate Average [kW],0.521229929347826,1.6103547711487158,0.0,9.375303
District Heating Rate Average [kW],0.7411562500000002,2.0576977715500115,0.0,9.20727
Average District Heating Rate [kW],0.7411562500000002,2.0576977715500115,0.0,9.20727
District Heating Hot Water Energy Sum [MJ],0.006492532608695652,0.01802544889625497,0.0,0.080656
