,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage
0,Urban,60,7,3.74,Vertical-Windows,2.53,2.51,4,3,4,11.95,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,pre_1980
1,Urban,106,8,4.26,Vertical-Windows,3.19,3.86,4,3,4,8.47,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
2,City,40,1,3.31,Vertical-Windows,2.88,2.16,4,4,4,8.19,False,Low-SHGC-Value,Passive,DHWBaseboard,Gas_WaterHeater,2016
3,City,75,4,3.61,Vertical-Windows,2.65,3.42,5,5,2,10.85,True,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,2010
4,Country,89,5,3.7,Ribbon-Windows,2.76,3.68,4,4,3,11.97,True,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,1980_2004
5,Suburbs,66,7,3.07,Vertical-Windows,2.16,3.31,5,3,2,7.16,True,External-Shading,GEG,DHWBaseboard,Gas_TanklessHeater,2019
6,City,176,8,3.95,Vertical-Windows,3.84,3.95,4,5,3,11.0,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004
7,Suburbs,151,7,3.06,Vertical-Windows,3.65,2.38,5,5,2,10.1,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2016
8,Country,146,8,3.61,Ribbon-Windows,3.45,2.68,4,5,3,11.24,False,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,pre_1980
9,Suburbs,60,2,3.53,Horizontal-Windows,2.4,3.08,5,5,2,12.83,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
10,Urban,57,6,4.41,Vertical-Windows,2.91,2.96,5,4,3,8.77,False,External-Shading,Passive,DHWBaseboard,HeatPump_WaterHeater,2007
11,Urban,12,5,4.24,Horizontal-Windows,2.14,3.03,4,4,2,12.33,True,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004
12,Country,52,7,3.06,Vertical-Windows,2.38,3.42,4,4,3,10.61,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2013
13,City,9,2,3.29,Vertical-Windows,2.12,2.52,5,5,2,13.0,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2004
14,Urban,58,10,3.71,Horizontal-Windows,3.72,3.4,3,3,4,11.89,False,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2007
15,Urban,105,6,3.84,Vertical-Windows,2.39,3.06,4,3,2,11.81,False,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,pre_1980
16,Urban,150,5,3.35,Vertical-Windows,2.21,3.21,4,3,4,9.45,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2013
17,Urban,63,8,3.0,Horizontal-Windows,2.52,2.52,4,4,4,11.94,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004
18,Suburbs,166,6,3.36,Ribbon-Windows,2.32,3.94,4,5,4,12.01,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010
19,Country,50,9,2.85,Ribbon-Windows,4.0,3.46,5,3,4,8.42,True,External-Shading,GEG,BoilerBaseboard,Electric_TanklessHeater,2007
20,City,155,1,2.93,Ribbon-Windows,2.83,3.05,5,3,3,12.95,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2010
21,City,2,4,3.68,Horizontal-Windows,3.77,2.74,4,4,2,9.03,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2007
22,Urban,84,5,3.29,Vertical-Windows,3.91,2.91,4,3,3,7.78,False,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,2016
23,Country,35,1,3.62,Vertical-Windows,3.99,2.9,4,4,4,9.73,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,pre_1980
24,Urban,155,10,2.82,Ribbon-Windows,3.64,2.75,3,4,3,7.83,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2010
25,Suburbs,125,6,4.11,Vertical-Windows,3.65,3.07,3,5,3,7.04,True,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2016
