,mean,std,min,max
Orientation,91.28735632183908,51.93979252539292,5.0,178.0
NumberOfFloors,5.2298850574712645,2.8354120713824944,1.0,10.0
FloorHeight,3.524137931034484,0.4856009265060936,2.8,4.5
RasterLength-X,3.0664367816091964,0.6076450482624652,2.0,4.0
RasterLength-Y,3.1075862068965514,0.6254616258324195,2.02,4.0
Arm-Latitudinal-NumberOfSegments,3.942528735632184,0.6709299661764251,3.0,5.0
Arm-Longitudinal-NumberOfSegments,3.954022988505747,0.7610892741238134,3.0,5.0
BaseBody-Inside-Latditudinal-NumberOfSegments,2.896551724137931,0.699409763759659,2.0,4.0
Courtyard_SegmentCount_RasterLength-Y,9.930229885057472,1.7653446708797336,7.13,12.98
EUI[kWh/m²a],62.68547126436782,4.887706897634914,56.623,82.825
Baseboard Design Size U-Factor Times Area Average [kW/K],0.29076004597701144,0.25803381189221264,0.088072,1.127176
EUI-Heating[kWh/m²a],6.694655172413795,6.046947913266478,0.45,31.48
EUI-InteriorLighting[kWh/m²a],17.21698850574713,0.7246322803510834,15.312,18.882
EUI-Pumps[kWh/m²a],0.012011494252873567,0.00879282774960757,0.003,0.048
EUI-Cooling[kWh/m²a],0.0,0.0,0.0,0.0
GrossFloorArea[m²],10468.265747126434,5714.6061915369655,1513.2,27481.69
HotWaterPumpDesignFlowRate[l/min],5.452622022988506,1.852892276709075,2.035905,10.523779
HotWaterPumpDesignPowerConsumption[kW],0.003869517241379312,0.0013148430436179222,0.001445,0.007468
Baseboard Design Size Maximum Water Flow Rate Average [l/min],9.355600689655173,2.265219062609215,4.901219,16.362414
HeatEmissions-Total[MWh/a],1665.2134738390812,766.3996642845188,404.0,4004.225
HeatEmissionsZone-Exfiltration[MWh/a],365.79441250574723,212.5887476006255,49.325,1063.172222
HeatEmissionsZone-HVACRejectHeat[MWh/a],7.251021747126437,7.280180264700139,0.0,30.225
BoilerDesignSizeNominalCapacity[kW],213.54943747126438,228.2012966303744,0.0,769.150482
CentralAirSourceHeatPumpCapacity[kW],69.19422388505748,152.86161436159202,0.0,607.401412
