Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage,EUI[kWh/m²a],Baseboard Design Size U-Factor Times Area Average [kW/K],EUI-Heating[kWh/m²a],EUI-InteriorLighting[kWh/m²a],EUI-Pumps[kWh/m²a],EUI-Cooling[kWh/m²a],GrossFloorArea[m²],HotWaterPumpDesignFlowRate[l/min],HotWaterPumpDesignPowerConsumption[kW],Baseboard Design Size Maximum Water Flow Rate Average [l/min],HeatEmissions-Total[MWh/a],HeatEmissionsZone-Exfiltration[MWh/a],HeatEmissionsZone-HVACRejectHeat[MWh/a],BoilerDesignSizeNominalCapacity[kW],CentralAirSourceHeatPumpCapacity[kW],Service Hot Water Heater Design Flow Rate [l/min],Boiler Heating Rate Average [kW],District Heating Rate Average [kW],Average District Heating Rate [kW],District Heating Hot Water Energy Sum [MJ],District Heating Inlet Temperature Average[C],District Heating Outlet Temperature Average [C],District Heating Mass Flow Rate Average [kg/s],Boiler Heating Energy Average [MJ],Boiler Inlet Temperature Average[C],Boiler Outlet Temperature Average [C],Boiler Mass Flow Rate Average [kg/s],Boiler Part Load Ratio Average,Boiler Efficiency,Baseboard Total Heating Energy Sum Average [MJ],Baseboard Hot Water Energy Sum Average[MJ],Baseboard Hot Water Mass Flow Rate Average Average [kg/s],Baseboard Air Inlet Temperature Average Average [C],Baseboard Air Outlet Temperature Average Average [C],Baseboard Water Inlet Temperature Average Average [C],Baseboard Water Outlet Temperature Average Average [C],Baseboard Total Heating Rate Average Average [kW],Baseboard Total Heating Rate Average Sum[kW],Baseboard Total Heating Energy Sum Sum [MJ],Baseboard Hot Water Energy Sum Sum[MJ],Baseboard Hot Water Mass Flow Rate Average Sum [kg/s],Baseboard Water Outlet Temperature Average Sum [C],Baseboard Water Inlet Temperature Average Sum [C],Baseboard Air Outlet Temperature Average Sum [C],Baseboard Air Inlet Temperature Average Sum [C],Water Heater Heat Loss Rate Average [kW],Water Heater Tank Temperature Average [C],Water Heater Heat Loss Energy Sum [MJ],Water Heater Use Side Mass Flow Rate Average [kg/s],Water Heater Use Side Inlet Temperature Average [C],Water Heater Use Side Outlet Temperature Average [C],Water Heater Use Side Heat Transfer Rate Average [kW],Water Heater Use Side Heat Transfer Energy Sum [MJ],Water Heater Total Demand Heat Transfer Rate Average [kW],Water Heater Heating Rate Average [kW],Water Heater Electricity Rate Average [kW],Volume [m³],Construction Area [%],Window to Wall Ratio [%]
Simulation000,Urban,112,1,4.45,Vertical-Windows,2.37,3.62,4,3,2,8.48,FALSE,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,2013,79.029,0.142631,28.335,15.73,0.034,0,1654.11,2.771037,0.001967,7.915427,462.811111,58.869444,10.311111,84.439554,0,2.771037,4.173224,0,0,0,0,0,0,0.036557,36557.44654,50.395445,0.019052,0.049423,0.362197,0.002638,0.002638,0.001398,22.324765,23.573505,82.183502,65.580371,0.301182,4.216554,0.036937,0.036937,0.019576,918.125188,1150.569029,330.029066,312.546704,-0.221812,58.968748,-0.001943,0.031587,50.351225,58.968748,-1.513426,-0.013258,1.719266,1.719344,1.719344,7360.782024,0.089841,0.238865
Simulation001,Suburbs,28,3,3.57,Vertical-Windows,2.54,2.48,4,3,2,10.55,FALSE,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2007,58.269,0.535467,5.051,17.068,0.03,0,2992.12,2.034562,0.001444,5.798027,682.919444,107.786111,0,0,142.092453,2.034562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117,0.001117,0.001097,24.943903,25.536326,48.883685,44.444075,0.127511,4.080357,0.035744,0.035744,0.035098,1422.210401,1564.277916,817.16242,798.204889,0,67.012443,0,0.023192,51.198508,67.012443,-1.135055,-0.009943,1.129929,1.134984,1.134984,10681.8684,0.078913,0.184041
Simulation002,City,113,6,4.43,Horizontal-Windows,3.66,2.05,3,5,3,12.83,TRUE,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2010,64.571,0.202105,8.705,17.187,0.014,0,11094.46,5.654539,0.004013,11.247696,1763.313889,392.927778,0,0,0,5.654539,0,11.024908,11.024908,0.096578,23.537947,46.004313,0.056607,0,0,0,0,0,0,0.001664,0.001664,0.000959,27.953929,28.394924,82.172889,75.078011,0.189928,11.20578,0.098163,0.098163,0.056607,4429.602655,4848.20043,1675.300496,1649.281789,-0.221806,58.967727,-0.001943,0.064457,50.334412,58.967727,-3.088254,-0.027053,3.294113,3.294242,3.294242,49148.46227,0.051002,0.398059
Simulation003,Country,105,4,3.81,Horizontal-Windows,3.66,3.62,5,4,3,9.4,TRUE,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,2013,60.302,0.236672,3.707,17.593,0.007,0,12308.51,7.988071,0.005669,13.169702,2022.811111,435.458333,10.038889,411.43703,0,7.988071,4.062729,0,0,0,0,0,0,0.03559,35589.50963,41.974039,0.020019,0.009874,0.221876,0.000875,0.000875,0.000494,29.529918,29.701283,82.220118,79.480471,0.099858,4.094195,0.035865,0.035865,0.020263,3258.699299,3371.024854,1217.75259,1210.72662,-0.221797,58.966102,-0.001943,0.091057,50.332567,58.966102,-4.362727,-0.038217,4.568597,4.568719,4.568719,46895.41091,0.039771,0.36106
Simulation004,Country,31,6,3.31,Horizontal-Windows,2.34,3.21,4,4,4,12.06,FALSE,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,2013,57.731,0.864965,1.266,17.147,0.009,0,12377.13,5.822609,0.004132,9.366625,1949.119444,414.233333,0,0,423.229483,5.822609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0.00062,0.000608,30.154661,30.339617,48.88802,47.407094,0.070801,4.177232,0.036593,0.036593,0.03588,2797.01855,2884.393155,1790.037424,1779.125012,-0.221793,58.965491,-0.001943,0.066373,50.342576,58.965491,-3.180055,-0.027857,3.385902,3.386038,0,40968.31583,0.044523,0.314288
Simulation005,Urban,68,8,3.41,Vertical-Windows,3.22,2.28,3,4,3,12.82,TRUE,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2019,58.505,0.13412,2.91,17.202,0.005,0,12448.86,4.426322,0.003141,7.463695,2027.736111,414.655556,0,0,0,4.426322,0,4.135033,4.135033,0.036223,23.205703,42.450638,0.020105,0,0,0,0,0,0,0.000476,0.000476,0.000261,29.9634,30.131357,82.214225,79.433729,0.054325,4.183026,0.036643,0.036643,0.020105,6116.397164,6330.495307,2320.1145,2307.181828,-0.221806,58.967608,-0.001943,0.050456,50.334527,58.967608,-2.417436,-0.021177,2.623283,2.623379,2.623379,42450.60393,0.050658,0.192457
Simulation007,Country,167,4,3.37,Vertical-Windows,2.71,2.71,5,4,3,9.63,TRUE,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,1980_2004,59.141,0.739446,2.514,17.573,0.016,0,6881.79,4.427829,0.003142,8.00681,1332.536111,222.341667,0,0,251.410929,4.427829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000994,0.000994,0.000987,26.490148,26.839233,48.885254,46.173059,0.113431,4.650675,0.04074,0.04074,0.040459,1893.095438,2004.295409,1100.408544,1086.096063,-0.221802,58.967001,-0.001943,0.050473,50.342647,58.967001,-2.418258,-0.021184,2.624102,2.624211,2.624211,23191.62861,0.053307,0.185331
Simulation008,Urban,11,5,2.96,Ribbon-Windows,3.98,2.99,5,4,3,8.21,FALSE,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2010,59.688,0.185672,2.16,17.88,0.004,0,12861.97,7.174746,0.005092,10.33234,1606.588889,459.45,6.111111,393.65181,0,7.174746,2.473353,0,0,0,0,0,0,0.021667,21666.57259,37.924982,0.011247,0.006283,0.198858,0.000436,0.000436,0.000227,32.719389,32.825155,82.221704,80.484698,0.04982,2.491021,0.021821,0.021821,0.011339,4024.234921,4111.085207,1641.257728,1635.96946,0,67.014335,0,0.081786,51.20005,67.014335,-4.002872,-0.035065,3.997764,4.002819,4.002819,38071.44353,0.040931,0.524443
Simulation009,Urban,9,8,3.81,Ribbon-Windows,3.94,3.7,3,4,3,9.92,TRUE,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_TanklessHeater,2016,60.328,0.235562,3.945,17.383,0.006,0,22055.93,8.789217,0.006237,13.109225,2777.302778,723.869444,19.141667,769.150482,0,8.789217,7.747399,0,0,0,0,0,0,0.067867,67867.21491,44.965191,0.037812,0.010073,0.266633,0.000889,0.000889,0.000499,31.167755,31.359098,82.219581,79.066329,0.101439,7.810797,0.068423,0.068423,0.038391,6088.107361,6330.907767,2414.650582,2399.91712,0,67.014999,0,0.10019,51.200547,67.014999,-4.903709,-0.042956,4.898608,4.903662,4.903662,84033.09665,0.035784,0.564799
Simulation010,Urban,42,6,3.56,Vertical-Windows,2.6,3.46,3,4,3,8.19,FALSE,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,pre_1980,62.965,0.136638,5.516,17.343,0.008,0,9727.46,5.423775,0.003849,7.603666,1720.736111,320.533333,11.805556,341.836655,0,5.423775,4.777988,0,0,0,0,0,0,0.041855,41855.17434,45.003516,0.022576,0.013977,0.286993,0.000716,0.000716,0.00039,27.89227,28.161405,82.217661,77.780537,0.081695,4.819977,0.042223,0.042223,0.023024,4589.051677,4850.841998,1661.522898,1645.643911,-0.221799,58.966554,-0.001943,0.061826,50.335182,58.966554,-2.962196,-0.025949,3.168046,3.168145,0,34629.77455,0.048318,0.176935
Simulation013,Country,85,6,3.37,Ribbon-Windows,3.25,3.04,4,4,2,9.34,TRUE,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2004,58.24,0.765467,1.274,18.013,0.009,0,9790.09,4.25482,0.003019,8.291337,1439.113889,411.425,0,0,374.642788,4.25482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000493,0.000493,0.000488,32.281134,32.448593,48.887591,47.587701,0.056317,3.322683,0.029107,0.029107,0.028804,2807.674364,2884.367846,1914.46699,1904.586916,0,67.014474,0,0.048501,51.200563,67.014474,-2.3737,-0.020794,2.368594,2.373648,2.373648,32992.61004,0.050808,0.553637
Simulation015,Suburbs,89,7,2.98,Vertical-Windows,3.84,2.45,3,4,2,11.87,FALSE,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,pre_1980,56.983,0.625284,1.162,17.508,0.008,0,10638.57,4.051553,0.002875,6.771896,1687.427778,354.383333,0,0,352.663058,4.051553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426,0.000426,0.000422,30.45484,30.606714,48.88797,47.714167,0.048602,3.304919,0.028951,0.028951,0.028709,3244.563334,3324.381949,2081.256584,2070.929098,0,67.013558,0,0.046184,51.199151,67.013558,-2.260442,-0.019801,2.255327,2.260382,0,31702.92787,0.055906,0.180537
Simulation016,Suburbs,71,10,3.31,Ribbon-Windows,2.22,2.92,4,5,2,9.87,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2019,64.725,0.127528,6.491,18.401,0.007,0,12270.21,3.489555,0.002476,7.097518,1871.338889,498,17.522222,513.775864,0,3.489555,7.091887,0,0,0,0,0,0,0.062125,62124.9314,44.522175,0.032454,0.013803,0.286519,0.00066,0.00066,0.000349,30.315638,30.61364,82.217358,77.290208,0.075332,7.156567,0.062692,0.062692,0.033169,7342.569761,7810.648966,2908.295791,2879.985582,0,67.014211,0,0.039778,51.199974,67.014211,-1.94685,-0.017054,1.941741,1.946795,1.946795,40614.39788,0.053104,0.532936
Simulation017,Suburbs,100,8,4.5,Horizontal-Windows,2.85,3.22,3,5,3,8.54,TRUE,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004,63.44,0.191719,5.253,17.631,0.008,0,15123.88,6.916127,0.004908,10.669504,2496.816667,607.4,17.477778,626.006025,0,6.916127,7.074237,0,0,0,0,0,0,0.06197,61970.31544,45.429962,0.036281,0.011301,0.259275,0.000813,0.000813,0.000483,30.141948,30.377254,82.216262,78.351322,0.092782,7.144182,0.062583,0.062583,0.037192,6033.051766,6330.6522,2339.04852,2320.92999,0,67.014509,0,0.078838,51.200376,67.014509,-3.858515,-0.033801,3.853409,3.858463,0,68057.45793,0.041923,0.376984
Simulation018,City,67,4,4.2,Vertical-Windows,2.79,3.02,3,3,3,12.6,FALSE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,60.476,0.161294,7.278,16.514,0.012,0,6698.51,3.809997,0.002704,8.975431,1179.469444,224.394444,0,0,0,3.809997,0,5.56537,5.56537,0.048753,23.356072,45.106394,0.027519,0,0,0,0,0,0,0.001206,0.001206,0.000671,26.677019,27.080983,82.196597,75.583726,0.137645,5.643428,0.049436,0.049436,0.027519,3098.932784,3370.060468,1110.320307,1093.757785,0,67.013961,0,0.043431,51.199541,67.013961,-2.125677,-0.018621,2.120565,2.12562,0,28133.7462,0.053763,0.22764
Simulation019,Urban,108,10,3.18,Vertical-Windows,2.37,2.8,3,4,4,10.26,FALSE,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2010,57.58,0.616258,0.809,17.25,0.006,0,15181.44,5.144025,0.003651,6.673935,2382.169444,513.591667,0,0,485.563873,5.144025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000302,0.000302,0.000298,31.097946,31.223471,48.888011,47.892185,0.034436,3.271442,0.028658,0.028658,0.028315,4549.757538,4644.361043,2966.229779,2954.304891,-0.221806,58.967658,-0.001943,0.058637,50.325945,58.967658,-2.809419,-0.024611,3.015274,3.015423,3.015423,48276.9876,0.046221,0.175376
Simulation020,Suburbs,96,9,3.47,Horizontal-Windows,3.8,3.99,4,4,3,8.85,TRUE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,59.212,0.21598,1.198,17.866,0.003,0,26616.89,9.141316,0.006487,12.018655,3482.319444,968.713889,0,0,0,9.141316,0,3.640524,3.640524,0.031891,24.845224,39.752328,0.018038,0,0,0,0,0,0,0.000374,0.000374,0.00021,34.206727,34.284224,82.221456,80.989117,0.042685,3.670912,0.032157,0.032157,0.018038,6965.064071,7071.045224,2948.443229,2941.778501,0,67.014229,0,0.104203,51.199886,67.014229,-5.100086,-0.044677,5.094977,5.100032,0,92360.61177,0.034347,0.3418
