,mean,std,min,max
Orientation [°],95.39676113360323,52.03044439497558,1.0,179.0
Number of Floors,5.4534412955465585,2.6817772402373827,1.0,10.0
Floor Height [m],3.6311336032388666,0.4861842577502057,2.8,4.5
Open Office: Heating Setpoint  [°C],22.44331983805668,0.8727269610292152,21.0,24.0
Open Office: Air Change Rate per Hour [1/h],4.986639676113361,0.5824182518134399,4.0,6.0
Open Office: People per Area [people/m²],0.12412955465587046,0.043495063463981964,0.05,0.2
Meeting: Heating Setpoint [°C],21.960323886639678,1.049372972068754,20.0,24.0
Meeting: Air Change Rate per Hour [1/h],5.9740890688259105,0.5777520568452928,5.0,7.0
Meeting: People per Area [people/m²],0.32902834008097165,0.10288060017691346,0.15,0.5
Volume [m³],39278.30598677734,23824.191881287432,6186.25198,137868.6557
Area [m²],10796.06389759514,6324.010530868618,1835.68308,35533.15868
Construction Area [%],5.499961910931175,1.172434516732715,3.276213,10.831206
Window to Wall Ratio: North [%],32.007570850202434,15.325966294355872,10.95,70.75
Window to Wall Ratio:  East [%],32.05983805668016,14.908358433884665,12.0,70.67
Window to Wall Ratio:  South [%],32.02246963562754,15.312974358807802,10.95,70.75
Window to Wall Ratio:  West [%],32.05983805668016,14.908358433884665,12.0,70.67
HVAC-System Capacity [kW],1230.9754636275302,565.2606861522136,305.107452,3063.012336
Baseboard Capacity Sum [kW],1693.4078363360327,783.3021397923388,419.371517,4227.141952
EUI [kWh/m²a],160.796979757085,30.832029520108733,95.997,278.89
EUI Heating [kWh/m²a],106.29526315789474,31.595546042748015,39.847,224.163
EUI Electricity  [kWh/m²a],54.501676113360325,1.8884592421614925,45.481,57.112
