,mean,std,min,max
Orientation [°],89.89709172259508,50.7203549727653,0.0,180.0
Number of Floors,5.472035794183445,2.621658859120269,1.0,10.0
Floor Height [m],3.6556823266219243,0.4939457834357401,2.8,4.5
Open Office: Heating Setpoint  [°C],22.464653243847874,0.8811955816010281,21.0,24.0
Open Office: Air Change Rate per Hour [1/h],4.984563758389261,0.5641841801107047,4.0,6.0
Open Office: People per Area [people/m²],0.1265324384787472,0.04387419028527443,0.05,0.2
Meeting: Heating Setpoint [°C],22.0586129753915,1.1184594025166485,20.0,24.0
Meeting: Air Change Rate per Hour [1/h],5.970917225950783,0.5739914608850634,5.0,7.0
Meeting: People per Area [people/m²],0.3205816554809844,0.10114200789671318,0.15,0.5
Volume [m³],38381.345686930654,23077.198895144345,5106.46136,146119.6074
Area [m²],10492.12825091499,6118.4583293258365,1326.3536,35533.15868
Construction Area [%],5.518018087248322,1.2147971726037112,3.208896,11.274237
Window to Wall Ratio: North [%],32.7034899328859,15.970733544378174,11.06,71.3
Window to Wall Ratio:  East [%],32.866778523489934,15.417366682686662,11.06,71.4
Window to Wall Ratio:  South [%],32.70183445190156,15.97217678202908,11.06,71.3
Window to Wall Ratio:  West [%],32.866778523489934,15.417366682686662,11.06,71.4
HVAC-System Capacity [kW],1267.667577834452,581.1913680046089,269.510114,3450.423244
Baseboard Capacity Sum [kW],2362.709084657718,1326.7250746941445,413.803229,8353.58413
EUI [kWh/m²a],139.6227673378076,48.57507903604793,73.374,328.215
EUI Heating [kWh/m²a],85.0715749440716,48.953211626372486,17.536,274.886
EUI Electricity  [kWh/m²a],54.55119463087249,1.8611009375372554,45.481,57.255
