Simulation,Unnamed: 0,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],A/V,Window to Wall Ratio [%],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Cooling [kWh/m?a],EUI Interior Lighting [kWh/m?a],EUI Exterior Lighting [kWh/m?a],EUI Interior Equipment [kWh/m?a],EUI Exterior Equipment [kWh/m?a],EUI Fans [kWh/m?a],EUI Pumps [kWh/m?a],EUI Heat Rejection [kWh/m?a],EUI Humidification [kWh/m?a],EUI Heat Recovery [kWh/m?a],EUI Water Systems [kWh/m?a],EUI Refrigeration [kWh/m?a],EUI Generators [kWh/m?a],EUI Electric Equipment [kWh/m?a],EUI Electricity [kWh],EUI Natrual Gas [kWh/m?a],EUI District Heating [kWh/m?a],EUI District Cooling [kWh/m?a],Boiler  Design Size Nominal Capacity [kW],CentralAirSourceHeatPumpCapacity[kW],District Heating Peak [kW],Baseboard Capacity Average [kW],Baseboard Capacity Sum [kW],Service Hot Water Tank Volume [m],Service Hot Water Design Flow Rate [l/min]
Simulation000,0,Suburbs,177,6,3.88,Vertical-Windows,3.72,3.04,5,5,3,12.1,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,21.2,25.7,4.2,0.18,21.1,25.8,6.7,0.36,73842.52854,19031.57952,0.257732,0.241618,3.967961,27.99,21.03,27.99,21.03,82.329,27.039,0,16.105,0,0,0,0,0.133,0,0,0,2.192,0,0,36.861,82.33539,0,0,0,0,1919.816226,0,71.130793,4196.716805,0,0
Simulation001,1,Urban,96,6,3.74,Vertical-Windows,2.63,2.17,4,4,4,11.52,FALSE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2007,22.8,24.1,4.9,0.19,22.8,27,5.2,0.32,34444.98746,9209.889696,0.26738,0.198467,5.519066,17.04,23.77,17.04,23.77,194.757,140.113,0,16.001,0,0,0,0,0.115,0,0,0,2.353,0,0,36.175,54.648528,140.123873,0,0,1167.94684,0,0,26.115689,1540.825677,0,0
Simulation003,3,Country,66,1,3.14,Vertical-Windows,3.81,3.46,4,3,4,12.06,TRUE,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2019,21.2,25,5.5,0.17,23.8,26.6,6.7,0.15,15443.03624,4918.164408,0.318471,0.186239,5.12331,15.29,24.16,15.29,24.16,165.791,120.311,0,14.113,0,0,0,0,0.128,0,0,0,7.858,0,0,23.382,45.484175,0,120.320541,0,0,0,512.79668,59.531831,833.445631,460,7.68
Simulation004,4,Suburbs,22,8,4.23,Horizontal-Windows,3.52,2.45,3,4,4,8.05,TRUE,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2016,23.1,25.1,5.1,0.07,23.5,25.2,5.2,0.28,61433.33566,14523.2472,0.236407,0.336355,4.654997,42.92,26.25,42.92,26.25,187.54,131.687,0,16.154,0,0,0,0,0.111,0,0,0,2.253,0,0,37.335,55.858013,131.697657,0,0,1916.94007,0,0,33.405144,2572.19606,0,0
Simulation007,7,Suburbs,72,6,2.88,Horizontal-Windows,3.97,3.86,4,3,3,12.48,TRUE,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2016,21.5,25.3,4.9,0.06,20.8,25.2,6,0.48,52674.44885,18289.73918,0.347222,0.295008,4.419944,27.4,32.71,27.4,32.71,74.188,20.923,0,15.942,0,0,0,0,0.106,0,0,0,1.921,0,0,35.296,74.194159,0,0,0,0,1513.244078,0,55.579362,3279.182376,420,6.9
Simulation008,8,Urban,128,3,2.96,Vertical-Windows,3.19,3.99,5,5,3,8.46,TRUE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2010,22.7,24,5,0.1,21.2,25.6,5.9,0.31,30776.09777,10397.33033,0.337838,0.182537,4.087013,16.81,21.48,16.81,21.48,89.414,33.004,0,15.766,0,0,0,0,0.174,0,0,0,5.641,0,0,34.829,83.779544,5.641857,0,0,0,1050.105898,0,75.970718,2431.062985,0,0
Simulation009,9,Country,97,6,3.86,Vertical-Windows,2.4,3.3,5,4,3,11.42,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980,21.7,25.6,4.9,0.16,22.9,24.7,6.8,0.34,43765.1185,11338.1136,0.259067,0.215156,5.257307,20.19,24.61,20.19,24.61,99.568,44.56,0,16.071,0,0,0,0,0.23,0,0,0,2.19,0,0,36.518,99.575314,0,0,0,0,1487.066346,0,57.066089,3366.899275,290,4.8
Simulation011,11,Suburbs,175,8,4.45,Vertical-Windows,3.98,2.85,4,5,3,9.74,TRUE,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004,23.2,25.9,4.5,0.05,21.4,25.4,6.1,0.19,95078.26239,21365.90166,0.224719,0.248708,3.835504,28.79,21.15,28.79,21.15,174.042,117.581,0,16.219,0,0,0,0,0.1,0,0,0,2.447,0,0,37.695,54.01861,120.03757,0,0,2546.9219,0,0,44.271815,3408.929761,0,0
Simulation013,13,Urban,129,2,4.35,Horizontal-Windows,3.36,2.39,3,4,2,11.14,FALSE,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016,21.6,25.2,4.6,0.15,22.9,25,5.8,0.19,13382.54114,3076.44624,0.229885,0.364402,7.986291,22.67,47.18,22.67,47.18,264.51,212.37,0,15.166,0,0,0,0,0.173,0,0,0,6.886,0,0,29.915,45.258703,219.272779,0,0,516.07759,0,0,29.39921,676.181834,0,0
Simulation014,14,Suburbs,81,6,2.82,Ribbon-Windows,3.42,3.4,4,5,3,12.44,TRUE,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2013,23.7,25.5,5.1,0.09,20.7,24.4,5.8,0.42,51795.28878,18367.12368,0.35461,0.511413,3.954796,44.64,59.49,44.64,59.49,78.385,22.844,0,16.048,0,0,0,0,0.124,0,0,0,2.986,0,0,36.384,75.405562,2.985949,0,0,0,1543.482294,0,63.714606,3759.161734,530,8.76
Simulation015,15,Suburbs,156,8,3.84,Horizontal-Windows,2.5,3.34,4,3,3,10.19,FALSE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.5,25,4.7,0.15,22,25.9,6.8,0.47,45016.89408,11723.1495,0.260417,0.344049,5.420648,38.91,32.52,38.91,32.52,98.237,43.296,0,16.119,0,0,0,0,0.216,0,0,0,1.972,0,0,36.634,96.272594,1.972514,0,0,0,1667.088249,0,48.865535,3762.646178,0,0
Simulation019,19,City,124,7,4.19,Vertical-Windows,2.42,3.82,5,4,2,11.23,FALSE,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,22.5,25.9,5,0.1,23.2,26,5.1,0.38,51485.28065,12287.65648,0.238663,0.234914,5.198784,22.54,25.76,22.54,25.76,224.257,169.02,0,16.172,0,0,0,0,0.137,0,0,0,1.984,0,0,36.944,53.257551,171.01767,0,0,1879.84258,0,0,36.779451,2501.00264,0,0
Simulation020,20,City,140,1,3.14,Vertical-Windows,3.58,2.62,3,5,4,11.63,FALSE,External-Shading,GEG,BoilerBaseboard,Electric_WaterHeater,1980_2004,21.6,24.9,4.2,0.06,22.6,26,6.7,0.44,13233.93652,4214.629464,0.318471,0.184213,5.439615,24.69,12.03,24.69,12.03,212.902,163.721,0,14.168,0,0,0,0,0.138,0,0,0,10.787,0,0,24.088,49.184474,163.734468,0,0,537.48542,0,0,50.511416,707.159829,550,9.06
Simulation021,21,Urban,66,6,4.49,Vertical-Windows,3.66,2.4,5,4,3,12.46,FALSE,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2007,21.3,25.8,4.6,0.17,22,25.2,6.1,0.26,58471.61481,13022.63136,0.222717,0.254584,4.720015,20.85,30.33,20.85,30.33,153.411,98.306,0,16.052,0,0,0,0,0.103,0,0,0,2.619,0,0,36.331,52.49061,2.618941,98.313447,0,0,0,1409.29796,39.078096,2305.607681,320,5.28
Simulation025,25,City,168,1,2.91,Vertical-Windows,2.39,2.93,5,4,4,8.95,FALSE,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2004,21.3,24.6,5.8,0.16,21.6,26.2,6.8,0.49,7847.512731,2696.73977,0.343643,0.177705,7.956653,19.21,17.23,19.21,17.23,228.295,175.745,0,14.395,0,0,0,0,0.146,0,0,0,12.317,0,0,25.692,40.234922,188.077504,0,0,398.07585,0,0,37.338927,522.744972,0,0
Simulation029,29,City,13,7,4.18,Horizontal-Windows,3.25,2.99,4,5,3,12.05,FALSE,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2013,23.2,24.9,5.1,0.12,23.4,26.3,6.5,0.37,72903.25042,17440.969,0.239234,0.374141,4.589225,49.09,27.76,49.09,27.76,94.088,38.254,0,16.127,0,0,0,0,0.206,0,0,0,2.568,0,0,36.933,91.526983,2.568551,0,0,0,2155.30925,0,83.271188,5662.440751,0,0
Simulation031,31,Urban,38,9,3.61,Vertical-Windows,3.87,2.26,5,4,3,10.13,TRUE,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2013,23.3,25.2,5.9,0.11,20.4,26.9,5.5,0.27,62803.40978,17397.06642,0.277008,0.228392,4.626745,26.18,19.7,26.18,19.7,160.091,104.404,0,16.258,0,0,0,0,0.087,0,0,0,1.485,0,0,37.857,55.691035,104.412427,0,0,2018.30233,0,0,31.277894,2689.898883,0,0
Simulation032,32,Suburbs,132,3,3.4,Ribbon-Windows,3.05,3.49,3,4,3,10.98,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2013,22.1,24.4,4.8,0.19,23.1,26.5,7,0.28,24445.05167,7189.72108,0.294118,0.526225,5.484265,45.56,63.27,45.56,63.27,89.17,36.698,0,15.479,0,0,0,0,0.19,0,0,0,4.37,0,0,32.433,89.177273,0,0,0,0,866.839021,0,66.452341,2126.474922,0,0
Simulation033,33,Suburbs,34,5,3.29,Horizontal-Windows,3.31,2.95,5,4,3,11.49,TRUE,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2013,22.6,25.3,5.2,0.17,22.8,24.7,6.8,0.5,39147.13231,11898.82441,0.303951,0.314182,4.518301,38.22,26.91,38.22,26.91,132.802,77.713,0,15.975,0,0,0,0,0.082,0,0,0,3.163,0,0,35.869,51.930405,3.163265,77.718872,0,0,0,1000.90426,33.186735,1659.336728,350,5.88
Simulation034,34,Country,141,8,4.39,Vertical-Windows,3.1,3.6,3,4,4,10.93,TRUE,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2010,21.8,24.8,5.8,0.15,23.4,25,5.7,0.31,93934.59829,21397.4028,0.22779,0.212994,4.189727,27.86,17.61,27.86,17.61,136.916,81.381,0,16.109,0,0,0,0,0.091,0,0,0,2.473,0,0,36.862,53.066507,2.47272,81.387893,0,0,0,1889.13736,39.838472,3067.562363,0,0
Simulation035,35,Country,30,9,4.28,Vertical-Windows,3.85,2.22,5,3,3,10.27,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.8,24.2,4.2,0.15,24,25.2,5.1,0.25,61416.10952,14349.5583,0.233645,0.252523,5.458774,29,22.04,29,22.04,109.932,54.726,0,16.204,0,0,0,0,0.299,0,0,0,1.426,0,0,37.277,109.940737,0,0,0,0,2119.532216,0,63.457181,5457.317533,230,3.84
Simulation036,36,Urban,9,10,2.84,Vertical-Windows,2.7,2.68,4,4,3,10.74,TRUE,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2016,22,25.9,4.7,0.12,22.4,25.1,6.4,0.36,42805.73892,15072.44328,0.352113,0.148179,5.628531,18.04,12.72,18.04,12.72,119.155,63.43,0,16.244,0,0,0,0,0.067,0,0,0,1.772,0,0,37.642,53.957462,1.77214,63.435046,0,0,0,1231.33286,21.398573,2032.864417,0,0
Simulation037,37,Urban,142,9,3.26,Vertical-Windows,3.11,2.46,4,3,4,7.02,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2010,23.2,24.6,4.9,0.16,23.3,26.8,6.8,0.37,40000.30523,12270.03228,0.306748,0.168813,5.464494,21.14,14.76,21.14,14.76,95.997,39.427,0,16.223,0,0,0,0,0.211,0,0,0,2.366,0,0,37.77,93.638974,2.366162,0,0,0,1542.455171,0,47.870167,4116.834399,270,4.44
Simulation038,38,Urban,42,2,3.47,Vertical-Windows,2.23,2.59,5,3,3,10.2,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013,23.5,24.5,4.5,0.11,21.6,26.6,6.8,0.45,9223.180676,2657.97714,0.288184,0.183972,8.368555,19.82,17.8,19.82,17.8,123.045,70.863,0,15.204,0,0,0,0,0.388,0,0,0,6.024,0,0,30.566,117.03014,6.024271,0,0,0,461.512172,0,51.954678,1194.957583,0,0
Simulation039,39,Suburbs,170,9,4.01,Vertical-Windows,3.86,2.89,4,5,4,11.53,FALSE,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2004,21.6,24.3,4.4,0.18,21.8,26.8,5.3,0.39,118887.3034,29647.70658,0.249377,0.240691,3.777234,28.19,20.47,28.19,20.47,126.669,70.808,0,16.225,0,0,0,0,0.06,0,0,0,1.784,0,0,37.793,55.8661,70.813176,0,0,2656.58572,0,0,39.779565,3421.042626,0,0
Simulation041,41,City,165,7,3.16,Vertical-Windows,3.02,3.89,5,4,4,12,FALSE,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,22.9,25.8,5.6,0.14,21.8,26.1,5.1,0.48,74246.096,23495.6,0.316456,0.196257,3.795729,23.51,17.99,23.51,17.99,114.501,58.996,0,16.114,0,0,0,0,0.064,0,0,0,2.37,0,0,36.957,53.139377,2.370373,59.00099,0,0,0,1600.08569,38.839465,2641.083649,0,0
Simulation042,42,Suburbs,146,6,3.19,Horizontal-Windows,3.41,3.83,3,4,3,7.56,TRUE,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,1980_2004,22.2,24.7,5.6,0.14,24,24.4,5.9,0.46,43763.80629,13719.06153,0.31348,0.281355,4.704946,36.64,23.43,36.64,23.43,117.495,62.068,0,16.039,0,0,0,0,0.067,0,0,0,2.89,0,0,36.431,55.431377,0,62.073115,0,0,0,1092.84017,30.821534,1818.470519,470,7.86
Simulation043,43,Country,79,7,4.13,Vertical-Windows,3.85,2.45,3,5,2,11.52,TRUE,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016,22,24.9,4.6,0.19,23.4,25.6,5.3,0.22,49895.13298,12081.146,0.242131,0.228867,5.632609,13.49,28.72,13.49,28.72,185.186,130.073,0,16.093,0,0,0,0,0.106,0,0,0,2.572,0,0,36.342,52.545191,132.655959,0,0,1682.4613,0,0,32.923247,2238.780792,0,0
Simulation044,44,Country,45,1,3.3,Vertical-Windows,3.62,3.97,4,4,4,9.41,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,22.5,24.5,5.9,0.08,23.1,24.6,5.1,0.22,17897.48048,5423.478932,0.30303,0.200293,5.02424,24.67,17.8,24.67,17.8,106.564,56.951,0,14.276,0,0,0,0,0.309,0,0,0,10.192,0,0,24.835,106.571921,0,0,0,0,738.172901,0,132.975396,1861.655549,670,11.16
Simulation045,45,Suburbs,139,4,4.18,Horizontal-Windows,2.54,3.55,4,3,4,11.95,FALSE,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2013,23.4,25,4.6,0.11,21.3,26.9,6.3,0.43,37681.63724,9014.74575,0.239234,0.341337,4.892035,40.61,31.61,40.61,31.61,183.853,131.251,0,15.672,0,0,0,0,0.141,0,0,0,3.002,0,0,33.788,52.606579,0,131.261444,0,0,0,1078.63414,43.280626,1774.505654,310,5.22
Simulation046,46,City,165,7,3.71,Horizontal-Windows,3.52,2.52,3,5,4,11.1,TRUE,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004,22,26,4.3,0.09,20.1,24.6,5.9,0.3,63817.48961,17201.47968,0.269542,0.335793,4.486644,43.65,23.35,43.65,23.35,143.678,88.257,0,16.076,0,0,0,0,0.074,0,0,0,2.506,0,0,36.765,55.425698,88.264001,0,0,1762.1258,0,0,34.248797,2328.918218,520,8.58
Simulation047,47,Country,19,1,3.15,Ribbon-Windows,2.97,2.03,3,5,2,7.16,FALSE,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2013,24,24.3,4.3,0.17,23.4,24.7,6.2,0.49,4398.469614,1396.33956,0.31746,0.506645,9.975601,60.22,39.24,60.22,39.24,130.47,76.313,0,14.576,0,0,0,0,0.42,0,0,0,12.537,0,0,26.625,130.478502,0,0,0,0,254.094736,0,48.607769,680.508769,190,3.24
Simulation049,49,Suburbs,178,3,3.31,Ribbon-Windows,2.34,3.47,4,4,3,11.13,TRUE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2016,23.9,25.5,5.8,0.09,20,25.5,6,0.48,19556.44411,5908.291272,0.302115,0.521151,5.516399,60.43,48.41,60.43,48.41,105.502,51.533,0,15.562,0,0,0,0,0.281,0,0,0,5.071,0,0,33.056,100.439425,5.071905,0,0,0,783.397312,0,60.242236,1927.751547,0,0
Simulation050,50,City,142,4,3.51,Vertical-Windows,2.92,3.08,5,5,3,8.95,TRUE,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.3,24.9,5.8,0.13,22.8,26.5,6.2,0.16,33564.18265,9562.4452,0.2849,0.218284,4.788761,26.07,19.52,26.07,19.52,95.38,39.605,0,15.949,0,0,0,0,0.211,0,0,0,3.598,0,0,36.016,95.38765,0,0,0,0,1163.264858,0,73.541562,3015.204034,410,6.78
Simulation051,51,Urban,148,10,2.99,Horizontal-Windows,3.91,2.42,5,5,4,8.64,FALSE,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2019,21.8,25.3,4.6,0.19,21.4,26.1,5.1,0.36,80500.86252,26923.36539,0.334448,0.309116,4.083205,36.36,26.48,36.36,26.48,72.243,15.426,0,16.336,0,0,0,0,0.077,0,0,0,1.666,0,0,38.738,72.248366,0,0,0,0,2066.700395,0,48.350633,4593.31016,0,0
Simulation053,53,Suburbs,77,9,3.08,Ribbon-Windows,2.24,2.91,5,4,2,9.53,TRUE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,22,24.6,5.8,0.15,20.9,26.5,5.9,0.49,32052.40685,10406.6256,0.324675,0.524375,6.016396,50.22,57.21,50.22,57.21,139.967,84.057,0,16.289,0,0,0,0,0.086,0,0,0,1.653,0,0,37.881,54.261418,1.653459,84.063715,0,0,0,1118.62355,21.55468,1853.702475,0,0
Simulation054,54,Suburbs,149,1,3.7,Vertical-Windows,3.32,3.68,3,5,3,10.27,TRUE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,21.2,25.3,5.6,0.07,21.2,26.4,5.3,0.44,15540.61615,4200.166528,0.27027,0.216577,5.386224,24.94,19.26,24.94,19.26,183.128,130.476,0,14.299,0,0,0,0,0.14,0,0,0,13.406,0,0,24.807,39.249567,13.406614,130.486638,0,0,0,474.7612,55.079443,771.112201,0,0
Simulation055,55,Suburbs,71,5,3.2,Vertical-Windows,2.56,3.29,4,5,3,9.6,FALSE,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2004,23.9,25.5,4.6,0.17,23.8,25.9,6.2,0.17,32967.29498,10302.27968,0.3125,0.185457,4.605271,16.8,21.86,16.8,21.86,94.528,38.909,0,16.003,0,0,0,0,0.214,0,0,0,3.14,0,0,36.262,94.535181,0,0,0,0,1129.019416,0,57.640348,2882.017392,380,6.36
Simulation056,56,City,23,3,4.23,Vertical-Windows,4,3.07,3,4,4,7.6,TRUE,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2007,23.7,24.5,4.2,0.2,23.5,24.6,6.5,0.26,36651.96864,8664.768,0.236407,0.218695,4.828261,27.34,18.04,27.34,18.04,98.405,44.014,0,15.516,0,0,0,0,0.244,0,0,0,5.485,0,0,33.147,98.413062,0,0,0,0,1072.864052,0,86.874864,2779.995655,570,9.54
Simulation057,57,Country,44,9,4.12,Horizontal-Windows,2.03,2.36,4,4,4,7.61,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,21.7,24.2,4.8,0.12,22.7,25.4,6.7,0.37,39099.19437,9490.09572,0.242718,0.318195,6.234915,34.74,30.63,34.74,30.63,117.275,60.234,0,16.252,0,0,0,0,0.311,0,0,0,2.396,0,0,38.081,114.888263,2.396549,0,0,0,1541.719499,0,40.47145,3480.544671,0,0
