Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],HVAC-System Capacity [kW],Baseboard Capacity Sum [kW],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Electricity [kWh]
Simulation000,Suburbs,177,6,3.88,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,21.2,25.7,4.2,0.18,21.1,25.8,6.7,0.36,73842.52854,19031.57952,3.967961,27.99,21.03,27.99,21.03,1919.816226,4196.716805,82.329,27.039,55.291
Simulation001,Urban,96,6,3.74,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2007,22.8,24.1,4.9,0.19,22.8,27,5.2,0.32,34444.98746,9209.889696,5.519066,17.04,23.77,17.04,23.77,1167.94684,1540.825677,194.757,140.113,54.644
Simulation003,Country,66,1,3.14,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2019,21.2,25,5.5,0.17,23.8,26.6,6.7,0.15,15443.03624,4918.164408,5.12331,15.29,24.16,15.29,24.16,615.356016,833.445631,165.791,120.311,45.481
Simulation004,Suburbs,22,8,4.23,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2016,23.1,25.1,5.1,0.07,23.5,25.2,5.2,0.28,61433.33566,14523.2472,4.654997,42.92,26.25,42.92,26.25,1916.94007,2572.19606,187.54,131.687,55.853
Simulation007,Suburbs,72,6,2.88,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2016,21.5,25.3,4.9,0.06,20.8,25.2,6,0.48,52674.44885,18289.73918,4.419944,27.4,32.71,27.4,32.71,1513.244078,3279.182376,74.188,20.923,53.265
Simulation008,Urban,128,3,2.96,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2010,22.7,24,5,0.1,21.2,25.6,5.9,0.31,30776.09777,10397.33033,4.087013,16.81,21.48,16.81,21.48,1050.105898,2431.062985,89.414,33.004,56.41
Simulation009,Country,97,6,3.86,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980,21.7,25.6,4.9,0.16,22.9,24.7,6.8,0.34,43765.1185,11338.1136,5.257307,20.19,24.61,20.19,24.61,1487.066346,3366.899275,99.568,44.56,55.009
Simulation011,Suburbs,175,8,4.45,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004,23.2,25.9,4.5,0.05,21.4,25.4,6.1,0.19,95078.26239,21365.90166,3.835504,28.79,21.15,28.79,21.15,2546.9219,3408.929761,174.042,117.581,56.461
Simulation013,Urban,129,2,4.35,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016,21.6,25.2,4.6,0.15,22.9,25,5.8,0.19,13382.54114,3076.44624,7.986291,22.67,47.18,22.67,47.18,516.07759,676.181834,264.51,212.37,52.14
Simulation014,Suburbs,81,6,2.82,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2013,23.7,25.5,5.1,0.09,20.7,24.4,5.8,0.42,51795.28878,18367.12368,3.954796,44.64,59.49,44.64,59.49,1543.482294,3759.161734,78.385,22.844,55.542
Simulation015,Suburbs,156,8,3.84,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.5,25,4.7,0.15,22,25.9,6.8,0.47,45016.89408,11723.1495,5.420648,38.91,32.52,38.91,32.52,1667.088249,3762.646178,98.237,43.296,54.941
Simulation019,City,124,7,4.19,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,22.5,25.9,5,0.1,23.2,26,5.1,0.38,51485.28065,12287.65648,5.198784,22.54,25.76,22.54,25.76,1879.84258,2501.00264,224.257,169.02,55.237
Simulation020,City,140,1,3.14,External-Shading,GEG,BoilerBaseboard,Electric_WaterHeater,1980_2004,21.6,24.9,4.2,0.06,22.6,26,6.7,0.44,13233.93652,4214.629464,5.439615,24.69,12.03,24.69,12.03,537.48542,707.159829,212.902,163.721,49.181
Simulation021,Urban,66,6,4.49,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2007,21.3,25.8,4.6,0.17,22,25.2,6.1,0.26,58471.61481,13022.63136,4.720015,20.85,30.33,20.85,30.33,1691.157552,2305.607681,153.411,98.306,55.105
Simulation025,City,168,1,2.91,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2004,21.3,24.6,5.8,0.16,21.6,26.2,6.8,0.49,7847.512731,2696.73977,7.956653,19.21,17.23,19.21,17.23,398.07585,522.744972,228.295,175.745,52.55
Simulation029,City,13,7,4.18,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2013,23.2,24.9,5.1,0.12,23.4,26.3,6.5,0.37,72903.25042,17440.969,4.589225,49.09,27.76,49.09,27.76,2155.30925,5662.440751,94.088,38.254,55.834
Simulation031,Urban,38,9,3.61,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2013,23.3,25.2,5.9,0.11,20.4,26.9,5.5,0.27,62803.40978,17397.06642,4.626745,26.18,19.7,26.18,19.7,2018.30233,2689.898883,160.091,104.404,55.687
Simulation032,Suburbs,132,3,3.4,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2013,22.1,24.4,4.8,0.19,23.1,26.5,7,0.28,24445.05167,7189.72108,5.484265,45.56,63.27,45.56,63.27,866.839021,2126.474922,89.17,36.698,52.472
Simulation033,Suburbs,34,5,3.29,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2013,22.6,25.3,5.2,0.17,22.8,24.7,6.8,0.5,39147.13231,11898.82441,4.518301,38.22,26.91,38.22,26.91,1201.085112,1659.336728,132.802,77.713,55.089
